author,author_url,build_with,desc_len,hackathon_names,hackathon_status,hackathon_urls,is_winner,num_cmts,num_imgs,num_likes,project_name,project_url,software_url,win_titles
Aarthi Ganesh||sahilsharma356 Sharma||Hariprasadh Govindasamy,https://devpost.com/aarthiganesh||https://devpost.com/sahilsharma356||https://devpost.com/harigovind1998,express.js||javascript||mongodb||node.js||react||rest,3183,ConUHacks V,,https://conuhacks2020.devpost.com/,False,0,1,78,Unite,https://devpost.com/software/unite-kw52ib,,
Polly Evans,https://devpost.com/pollyevans477,,176,,,,False,0,1,1,Write My Paper,https://devpost.com/software/write-my-paper,https://essayray.com/write-my-paper/,
Jones Wilson,https://devpost.com/joneswilson2211,,1383,,,,False,0,1,0,Office 365/2020 - office.com/setup,https://devpost.com/software/office-365-2020-office-setup,https://www.officecommsetup.com||http://www.ms-officesetup.com||https://www.office-help-setup.com,
Harshita Rastogi||Shivam Gupta||Ruchi Singh,https://devpost.com/rharshita29||https://devpost.com/sadam-99||https://devpost.com/ruchi15,android-studio||css||flask||github||google-cloud-vision||heroku||html||java||javascript||json||powershell||python||shell,2347,TAMUhack 2020,,https://tamuhack2020.devpost.com/,False,0,1,25,Auto-Vision-Scanner,https://devpost.com/software/auto-vision-scanner,https://github.com/ruchi15/Auto-Vision-Scanner,
Shaahana Naufal||Julia Turner||Ayla Orucevic||Chidinma Umenwofor-Nweze,https://devpost.com/shaahananaufal||https://devpost.com/juliaturner073||https://devpost.com/aylovecode||https://devpost.com/cumenwofornweze,api||css||django||gitbash||glitch||html||javascript||jupyter||matplotlib||numpy||octavegroupapi||pandas||python||rest||sketch||sklearn||slackapps,8338,ConUHacks V,,https://conuhacks2020.devpost.com/,False,0,6,13,PodTask,https://devpost.com/software/podtask-17laxy,https://dry-frost-4040.animaapp.io||https://github.com/ChidiNweze/PodTask,
Nigel Yong||Rhina Kim||Joey Zhou||Minh Bui,https://devpost.com/NigelYong||https://devpost.com/rhina99||https://devpost.com/joeyzhou98||https://devpost.com/minhbibui,bootstrap||docker||flask||google-computer-vision-api||heroku||kubernetes||python||spoonacular-api,1407,ConUHacks V,,https://conuhacks2020.devpost.com/,False,2,4,10,Foodbook,https://devpost.com/software/foodbook-124ebm,https://foodbook0.herokuapp.com/||https://github.com/joeyzhou98/Foodbook,
Abdelmalek Ihdene||Quinn Hogg||Mark Zalass||JosephHong,https://devpost.com/AbdelmalekIhdene||https://devpost.com/Quinn-of-England||https://devpost.com/mzal98||https://devpost.com/JosephHong,css||golang||html||javascript||jsx||postgresql||react||shell,3908,ConUHacks V,,https://conuhacks2020.devpost.com/,False,0,5,10,TaskAll,https://devpost.com/software/taskall,https://abdelmalek.ihdene.com/taskall/||https://github.com/AbdelmalekIhdene/Taskall/,
Jenessa Lu||deepliya||Kim Pham||Ian Prentice,https://devpost.com/jenessalu||https://devpost.com/deepliya||https://devpost.com/ktp321||https://devpost.com/itprentice,android-studio||chrome||git||github||java||javascript||photoshop,1595,DeltaHacks VI,,https://deltahacks6.devpost.com/,False,1,8,6,HealthPack,https://devpost.com/software/healthpack,https://github.com/tsuyuuu/HealthPack,
Kat Hulle||IbrahimSaeedPurdue||Philip lee||orangesimon,https://devpost.com/katherinehulle||https://devpost.com/IbrahimSaeedPurdue||https://devpost.com/2001plee||https://devpost.com/orangesimon,css3||firebase||html||javascript,1016,BoilerMake VII,,https://boilermake-vii.devpost.com/,False,3,1,4,Indiana Simulator,https://devpost.com/software/indiana-simulator,https://github.com/katherinehulle/IndianaSimulator,
Aarmartin||johnali000||Ahmed  Mohammed||J H,https://devpost.com/Aarmartin||https://devpost.com/johnali000||https://devpost.com/personalAM||https://devpost.com/Fahnatek,flask||java||javascript||python||react||webhook,658,MinneHack 2020,,https://minnehack2020.devpost.com/,False,0,0,5,Be Alert,https://devpost.com/software/be-alert,,
madslads||ChiD12 Rosenfeld||Armando Russo||George Mavroeidis,https://devpost.com/madslads||https://devpost.com/ChiD12||https://devpost.com/armandorusso||https://devpost.com/George540,blender||unity||visual-studio,1246,ConUHacks V,,https://conuhacks2020.devpost.com/,False,0,2,5,Green Runner Forever,https://devpost.com/software/green-runner-forever,https://github.com/George540/green_runner_forever.git,
Khaled Matloub||Dennis Cheong,https://devpost.com/khaledmatloub2001||https://devpost.com/dennischeong2012,expo.io||firebase||react-native||shutterstock,2662,ConUHacks V,,https://conuhacks2020.devpost.com/,False,1,5,3,LingoExplore,https://devpost.com/software/lingoexplore,https://github.com/elco45/conuhack5,
FORENSIC INVESTIGATION,https://devpost.com/forensicinvestigation,,359,,,,False,0,0,1,ACCIDENTAL RECONSTRUCTION,https://devpost.com/software/accidental-reconstruction,,
Adam Jean-Laurent||James Gannon||Zainab Edina||Emiton Alves,https://devpost.com/adamjeanlaurent||https://devpost.com/mailforjamesg||https://devpost.com/zeeedina2016||https://devpost.com/Emiton,bootstrap||css||express.js||google-cloud||html||javascript||mongodb||node.js,5004,Hack@Brown 2020,,https://hackatbrown2020.devpost.com/,False,0,1,4,SkillED,https://devpost.com/software/skilled-u8kchn,https://github.com/adamjeanlaurent/SkillED,
Jada Ebong||Angelica Rivera||Rosa Rivera,https://devpost.com/JadaE||https://devpost.com/arrs920||https://devpost.com/RosaRiveraS,,3038,TAMUhack 2020,,https://tamuhack2020.devpost.com/,False,0,5,3,Fit Tournament,https://devpost.com/software/fit-tournament,,
