Topic_Num,Project_Count,Keywords,Topic_Contrib,Hackathon_Count,Hackathon_Contrib
0.0,299,"server, database, web, website, connect, set, trouble, backend, service, access",0.1318,205,0.5925
10.0,198,"learn, experience, team, development, language, member, unity, technology, project, knowledge",0.0873,143,0.4133
9.0,190,"datum, information, data, find, algorithm, provide, search, source, structure, base",0.0838,131,0.3786
6.0,173,"hardware, device, sensor, camera, move, software, control, system, phone, wifi",0.0763,104,0.3006
5.0,154,"time, lot, work, hour, code, spend, error, figure, bug, hard",0.0679,116,0.3353
12.0,149,"implement, idea, feature, time, design, product, api, build, plan, complete",0.0657,110,0.3179
3.0,149,"find, good, problem, solution, decide, people, research, concept, give, provide",0.0657,125,0.3613
4.0,136,"problem, image, file, run, api, function, program, code, write, figure",0.0600,106,0.3064
1.0,135,"test, system, number, real, input, video, base, audio, order, word",0.0595,109,0.3150
8.0,134,"issue, due, library, documentation, run, lack, unable, version, network, support",0.0591,103,0.2977
2.0,131,"work, end, project, start, make, hard, back, part, decide, front_end",0.0578,111,0.3208
13.0,108,"user, app, application, create, make, build, interface, android, mobile, platform",0.0476,88,0.2543
7.0,106,"challenge, run, big, face, main, integrate, major, manage, encounter, develop",0.0467,89,0.2572
14.0,105,"make, create, game, skill, add, design, alexa, object, level, screen",0.0463,78,0.2254
11.0,101,"time, difficult, model, large, machine, amount, prove, learning, set, task",0.0445,89,0.2572
